code,name,category,brand,model,unit,currency_code,sale_price,stock_quantity,minimum_stock,vat_rate,lead_time,description,technical_summary,is_active
ML3524,"Linear act. modulating, 3500N, 40mm",Actuators,Honeywell,ML3524,adet,USDTRY,1161.44,0,0,20,,"Linear act. modulating, 3500N, 40mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML6161A2009/U,DAMPER ACTUATOR,Actuators,Honeywell,ML6161A2009/U,adet,USDTRY,162.81,0,0,20,,DAMPER ACTUATOR,Grup: Field Devices | Alt kategori: Rotary Actuators | Menşei: DE | Durum: Active,true
ML6161B2024/U,ACTUATOR DIRECT COUPLED,Actuators,Honeywell,ML6161B2024/U,adet,USDTRY,150.36,0,0,20,,ACTUATOR DIRECT COUPLED,Grup: Field Devices | Alt kategori: Rotary Actuators | Menşei: MX | Durum: Active,true
ML6161B2032/U,DIRECT COUPLED SPDT ACTUATOR,Actuators,Honeywell,ML6161B2032/U,adet,USDTRY,180.44,0,0,20,,DIRECT COUPLED SPDT ACTUATOR,Grup: Field Devices | Alt kategori: Rotary Actuators | Menşei: DE | Durum: Active,true
ML6174A2002/U,DAMPER ACTUATOR,Actuators,Honeywell,ML6174A2002/U,adet,USDTRY,216.73,0,0,20,,DAMPER ACTUATOR,Grup: Field Devices | Alt kategori: Rotary Actuators | Menşei: MX | Durum: Active,true
ML6174B2019/U,DAMPER ACTUATOR,Genel,Honeywell,ML6174B2019/U,adet,USDTRY,207.40,0,0,20,,DAMPER ACTUATOR,Grup: Field Devices | Menşei: MX | Durum: Active,true
ML6420A3007,ACTUATOR 600N 24V 50/60HZ,Actuators,Honeywell,ML6420A3007,adet,USDTRY,760.00,0,0,20,,ACTUATOR 600N 24V 50/60HZ,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6420A3007-E,"Linear act. On off, 600N, 20mm",Actuators,Honeywell,ML6420A3007-E,adet,USDTRY,283.10,0,0,20,,"Linear act. On off, 600N, 20mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML6420A3015,ACTUATOR 600N 230V 50/60HZ,Actuators,Honeywell,ML6420A3015,adet,USDTRY,611.83,0,0,20,,ACTUATOR 600N 230V 50/60HZ,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6420A3031,ACTUATOR 600N 230VAC 30SEC,Actuators,Honeywell,ML6420A3031,adet,USDTRY,750.00,0,0,20,,ACTUATOR 600N 230VAC 30SEC,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6420A3072,ELECTRIC LINEAR VALVE ACTUATOR,Actuators,Honeywell,ML6420A3072,adet,USDTRY,570.35,0,0,20,,ELECTRIC LINEAR VALVE ACTUATOR,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6421A3005,VALVE ACT.2POS./FLOAT.24V VAC,Actuators,Honeywell,ML6421A3005,adet,USDTRY,1151.07,0,0,20,,VALVE ACT.2POS./FLOAT.24V VAC,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6421A3013,1800N CORELLA 230V,Actuators,Honeywell,ML6421A3013,adet,USDTRY,1250.00,0,0,20,,1800N CORELLA 230V,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6421B3004,VALVE ACT.2POS./FLOAT.24VAC,Actuators,Honeywell,ML6421B3004,adet,USDTRY,1120.00,0,0,20,,VALVE ACT.2POS./FLOAT.24VAC,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6421B3012,EL.ACT.230V.1800N 38MM FL.,Actuators,Honeywell,ML6421B3012,adet,USDTRY,1240.00,0,0,20,,EL.ACT.230V.1800N 38MM FL.,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6425A3006,ACT.W.DIRECT ACTING SPRING R,Actuators,Honeywell,ML6425A3006,adet,USDTRY,1260.00,0,0,20,,ACT.W.DIRECT ACTING SPRING R,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6425A3014,ACT.DIRECT SPR.RET.230V,Actuators,Honeywell,ML6425A3014,adet,USDTRY,1280.00,0,0,20,,ACT.DIRECT SPR.RET.230V,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6425A3048,actuator 24V WITHOUT TUEV approval,Actuators,Honeywell,ML6425A3048,adet,USDTRY,1010.00,0,0,20,,actuator 24V WITHOUT TUEV approval,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6425A3055,actuator 230VAC without TUEV approval,Actuators,Honeywell,ML6425A3055,adet,USDTRY,912.56,0,0,20,,actuator 230VAC without TUEV approval,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6425B3005,ACTUATOR WITH REVERSE 24V,Genel,Honeywell,ML6425B3005,adet,USDTRY,1280.00,0,0,20,,ACTUATOR WITH REVERSE 24V,Grup: Field Devices | Menşei: HU | Durum: Active,true
